date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,BE_flock
2012-08-21,11:37:00,,1,Rol,,16,,,W2,,,,,,,
2012-08-21,12:32:00,,1,HB,,39,,,E3,,,,,,,
2012-08-21,13:43:00,,1,ShortTE,,1,,,O,Non-juv,,,,,,
2012-08-21,13:59:00,,1,BED,,1,,,E2,,,,,,,NAS
2012-08-21,14:24:00,,1,WS,,27,,,E3,,,,,,,
2012-08-21,15:08:00,,1,BED,,1,,,E1,Ad,,,,,,NAS
2012-08-21,15:09:00,,1,SB,,1,,,E1,Ad,,,,,,
2012-08-21,15:39:00,,1,SB,,1,,,E2,,,,,,,
2012-08-21,15:40:00,,1,Mon,,1,,,E2,Ad,M,,,,,
2012-08-21,15:41:00,,1,WS,,1,,,E3,,,,,,,
2012-08-21,15:47:00,,1,Mar,,1,,,E2,Juv,,,,,,
2012-08-21,16:36:00,,1,BEL,,1,,,E2,,,,,,,NAS
2012-08-21,18:23:00,,1,Mon,,1,,,E3,Ad,M,,,,,
2012-08-21,18:35:00,,1,HB,,3,,,E3,,,,,,,
2012-08-21,08:03:00,,2,WS,,1,,,W2,,,,,,,
2012-08-21,08:12:00,,2,HB,,1,,,E2,Ad,,,,,,
2012-08-21,08:15:00,,2,HB,,3,,,W3,,,,,,,
2012-08-21,08:30:00,,2,Mar,,1,,,W2,Imm,M,,,,,
2012-08-21,08:55:00,,2,Mar,,1,,,W2,Imm,F,,,,,
2012-08-21,08:59:00,,2,HB,,2,,,O,,,,,,,
2012-08-21,08:59:00,,2,HBad,,2,,,O,,,,,,,
2012-08-21,09:02:00,,2,HB,,1,,,O,,,,,,,
2012-08-21,09:02:00,,2,HBad,,1,,,O,,,,,,,
2012-08-21,09:19:00,,2,Mar,,1,,,W2,Imm,M,,,,,
2012-08-21,09:23:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,09:26:00,,2,HB,,1,,,E1,,,,,,,
2012-08-21,09:26:00,,2,HBad,,1,,,E1,,,,,,,
2012-08-21,09:43:00,,2,Mar,,2,,,E2,Non-juv,,,,,,
2012-08-21,09:45:00,,2,HB,,1,,,E2,Ad,,,,,,
2012-08-21,09:49:00,,2,Mar,,1,,,E2,Non-juv,FC,,,,,
2012-08-21,09:57:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,09:57:00,,2,HB,,14,,,E2,,,,,,,
2012-08-21,10:06:00,,2,WS,,2,,,W2,Juv,,,,,,
2012-08-21,10:07:00,,2,WS,,1,,,W2,Juv,,,,,,
2012-08-21,10:08:00,,2,BK,,1,,,W2,,,,,,,
2012-08-21,10:08:00,,2,Mar,,1,,,W2,Juv,,,,,,
2012-08-21,10:32:00,,2,Mar,,1,,,O,Ad,F,,,,,
2012-08-21,11:06:00,,2,HB,,4,,,E3,,,,,,,
2012-08-21,11:06:00,,2,SB,,1,,,E2,,,,,,,
2012-08-21,11:12:00,,2,Mar,,1,,,E2,,,,,,,
2012-08-21,11:12:00,,2,HB,,2,,,E2,,,,,,,
2012-08-21,11:29:00,,2,MonPalHen,,1,,,E3,,,,,,,
2012-08-21,11:31:00,,2,HB,,5,,,E3,,,,,,,
2012-08-21,11:32:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,11:35:00,,2,Pal,,1,,,E2,Ad,M,,,,,
2012-08-21,11:35:00,,2,BS,,1,,,E2,,,,,,,
2012-08-21,11:35:00,,2,HB,,3,,,E3,,,,,,,
2012-08-21,11:41:00,,2,HB,,4,,,E2,,,,,,,
2012-08-21,11:42:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,11:45:00,,2,HB,,24,,,E2,,,,,,,
2012-08-21,11:47:00,,2,BED,,1,,,E3,,,,,,,NAS
2012-08-21,11:57:00,,2,BEL,,1,,,E2,,,,,,,NAS
2012-08-21,12:01:00,,2,HB,,1,,,E3,,,,,,,
2012-08-21,12:01:00,,2,BED,,1,,,E3,,,,,,,NAS
2012-08-21,12:01:00,,2,HB,,1,,,E3,,,,,,,
2012-08-21,12:01:00,,2,MonPalHen,,2,,,E3,,,,,,,
2012-08-21,12:03:00,,2,HB,,1,,,E3,,,,,,,
2012-08-21,12:11:00,,2,HB,,10,,,E3,,,,,,,
2012-08-21,12:16:00,,2,HB,,51,,,E3,,,,,,,
2012-08-21,12:50:00,,2,HB,,17,,,E3,,,,,,,
2012-08-21,13:00:00,,2,HB,,3,,,E2,,,,,,,
2012-08-21,13:00:00,,2,HB,,9,,,E3,,,,,,,
2012-08-21,13:07:00,,2,MonPalHen,,1,,,O,,,,,,,
2012-08-21,13:08:00,,2,Mon,,1,,,O,Ad,M,,,,,
2012-08-21,13:47:00,,2,HB,,102,,,E2,,,,,,,
2012-08-21,13:48:00,,2,BED,,1,,,E2,,,,,,,NAS
2012-08-21,13:55:00,,2,HB,,67,,,E3,,,,,,,
2012-08-21,14:01:00,,2,HB,,39,,,E3,,,,,,,
2012-08-21,14:03:00,,2,HB,,75,,,E2,,,,,,,
2012-08-21,14:05:00,,2,HB,,39,,,E2,,,,,,,
2012-08-21,14:13:00,,2,HB,,106,,,E2,,,,,,,
2012-08-21,14:22:00,,2,BK,,1,,,E2,,,,,,,
2012-08-21,14:22:00,,2,ShortTE,,1,,,W1,Imm,,,,,,
2012-08-21,14:22:00,,2,BS,,1,,,E2,,,,,,,
2012-08-21,14:23:00,,2,Mar,,1,,,E2,,FC,,,,,
2012-08-21,14:23:00,,2,HB,,86,,,E2,,,,,,,
2012-08-21,14:25:00,,2,Mar,,1,,,E2,,,,,,,
2012-08-21,14:27:00,,2,HB,,31,,,E2,,,,,,,
2012-08-21,14:27:00,,2,BK,,3,,,E2,,,,,,,
2012-08-21,14:27:00,,2,Mar,,1,,,E2,,FC,,,,,
2012-08-21,14:35:00,,2,HB,,23,,,E1,,,,,,,
2012-08-21,14:44:00,,2,HB,,72,,,E2,,,,,,,
2012-08-21,14:44:00,,2,BK,,3,,,E2,,,,,,,
2012-08-21,14:45:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,14:57:00,,2,BK,,2,,,E2,,,,,,,
2012-08-21,14:57:00,,2,HB,,123,,,E2,,,,,,,
2012-08-21,15:02:00,,2,HB,,23,,,E2,,,,,,,
2012-08-21,15:07:00,,2,HB,,49,,,E2,,,,,,,
2012-08-21,15:11:00,,2,SB,,1,,,E2,,,,,,,
2012-08-21,15:17:00,,2,HB,,108,,,E2,,,,,,,
2012-08-21,15:20:00,,2,HB,,5,,,E2,,,,,,,
2012-08-21,15:24:00,,2,HB,,28,,,E2,,,,,,,
2012-08-21,15:26:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,15:31:00,,2,HB,,42,,,E2,,,,,,,
2012-08-21,15:35:00,,2,HB,,16,,,E2,,,,,,,
2012-08-21,15:39:00,,2,HB,,44,,,E2,,,,,,,
2012-08-21,15:39:00,,2,HB,,1,,,E2,,,,,,,
2012-08-21,15:41:00,,2,HB,,21,,,E2,,,,,,,
2012-08-21,15:43:00,,2,HB,,15,,,E2,,,,,,,
2012-08-21,15:46:00,,2,HB,,6,,,E2,,,,,,,
2012-08-21,15:52:00,,2,HB,,93,,,E2,,,,,,,
2012-08-21,15:56:00,,2,HB,,23,,,E2,,,,,,,
2012-08-21,16:01:00,,2,HB,,58,,,E2,,,,,,,
2012-08-21,16:01:00,,2,BK,,1,,,E2,,,,,,,
2012-08-21,16:06:00,,2,HB,,26,,,E2,,,,,,,
2012-08-21,16:09:00,,2,MonPalHen,,1,,,E3,,,,,,,
2012-08-21,16:11:00,,2,HB,,5,,,E2,,,,,,,
2012-08-21,16:25:00,,2,HB,,198,,,E2,,,,,,,
2012-08-21,16:25:00,,2,BK,,2,,,E2,,,,,,,
2012-08-21,16:36:00,,2,HB,,210,,,E2,,,,,,,
2012-08-21,16:48:00,,2,BS,,1,,,O,Juv,,,,,,
2012-08-21,16:56:00,,2,HB,,155,,,E2,,,,,,,
2012-08-21,16:56:00,,2,BK,,1,,,E1,,,,,,,
2012-08-21,17:11:00,,2,HB,,91,,,E3,,,,,,,
2012-08-21,17:14:00,,2,HB,,16,,,E3,,,,,,,
2012-08-21,17:19:00,,2,BK,,3,,,E3,,,,,,,
2012-08-21,17:19:00,,2,HB,,117,,,E3,,,,,,,
2012-08-21,17:28:00,,2,HB,,3,,,E2,,,,,,,
2012-08-21,17:35:00,,2,HB,,16,,,E2,,,,,,,
2012-08-21,17:40:00,,2,HB,,43,,,E3,,,,,,,
2012-08-21,17:44:00,,2,Mon,,1,,,O,Juv,,,,,,
2012-08-21,17:51:00,,2,HB,,2,,,E3,,,,,,,
2012-08-21,18:03:00,,2,BEL,,1,,,E1,Ad,,,,,,NAS
2012-08-21,18:05:00,,2,HB,,1,,,E3,,,,,,,
2012-08-21,18:05:00,,2,HB,,11,,,E3,,,,,,,
2012-08-22,09:09:00,,1,Mar,,1,,,W3,,FC,,,,,
2012-08-22,09:51:00,,1,Mar,,1,,,W1,Non-juv,F,,,,,
2012-08-22,09:59:00,,1,Mar,,1,,,W3,Juv,,,,,,
2012-08-22,10:09:00,,1,Mon,,1,,,W2,Juv,,,,,,
2012-08-22,10:18:00,,1,Mar,,1,,,W2,Juv,,,,,,
2012-08-22,10:39:00,,1,HB,,1,,,E3,,,,,,,
2012-08-22,10:47:00,,1,Mon,,2,,,E2,Imm,M,,,,,
2012-08-22,10:47:00,,1,Mar,,2,,,E2,,,,,,,
2012-08-22,11:16:00,,1,HB,,31,,,E3,,,,,,,
2012-08-22,11:22:00,,1,BS,,1,,,E2,,,,,,,
2012-08-22,11:23:00,,1,HB,,3,,,E2,,,,,,,
2012-08-22,11:38:00,,1,HB,,20,,,E3,,,,,,,
2012-08-22,12:01:00,,1,HB,,1,,,E3,,,,,,,
2012-08-22,12:17:00,,1,HB,,62,,,E3,,,,,,,
2012-08-22,12:22:00,,1,HB,,36,,,E3,,,,,,,
2012-08-22,12:27:00,,1,HB,,17,,,E3,,,,,,,
2012-08-22,12:34:00,,1,HB,,17,,,E3,,,,,,,
2012-08-22,12:38:00,,1,HB,,41,,,E3,,,,,,,
2012-08-22,12:42:00,,1,HB,,28,,,E3,,,,,,,
2012-08-22,12:45:00,,1,HB,,13,,,E3,,,,,,,
2012-08-22,13:03:00,,1,MonPalHen,,1,,,E2,Juv,,,,,,
2012-08-22,13:07:00,,1,HB,,224,,,E3,,,,,,,
2012-08-22,13:11:00,,1,WS,,3,,,E2,,,,,,,
2012-08-22,13:12:00,,1,HB,,118,,,E3,,,,,,,
2012-08-22,13:15:00,,1,HB,,42,,,E3,,,,,,,
2012-08-22,13:17:00,,1,MonPalHen,,2,,,E3,,,,,,,
2012-08-22,13:21:00,,1,HB,,114,,,E3,,,,,,,
2012-08-22,13:31:00,,1,HB,,227,,,E3,,,,,,,
2012-08-22,13:45:00,,1,HB,,215,,,E3,,,,,,,
2012-08-22,13:48:00,,1,HB,,57,,,E3,,,,,,,
2012-08-22,13:52:00,,1,HB,,7,,,E3,,,,,,,
2012-08-22,13:58:00,,1,HB,,39,,,E3,,,,,,,
2012-08-22,14:05:00,,1,HB,,81,,,E3,,,,,,,
2012-08-22,14:11:00,,1,HB,,34,,,E3,,,,,,,
2012-08-22,14:16:00,,1,HB,,1,,,E1,,,,,,,
2012-08-22,14:22:00,,1,HB,,81,,,E3,,,,,,,
2012-08-22,14:26:00,,1,HB,,27,,,E3,,,,,,,
2012-08-22,14:26:00,,1,Mar,,1,,,W1,Imm,F,,,,,
2012-08-22,14:29:00,,1,BEL,,1,,,E3,,,,,,,NAS
2012-08-22,14:33:00,,1,HB,,1,,,E1,Ad,,,,,,
2012-08-22,14:35:00,,1,HB,,53,,,E3,,,,,,,
2012-08-22,14:37:00,,1,HB,,3,,,E3,,,,,,,
2012-08-22,14:37:00,,1,HB,,2,,,E1,,,,,,,
2012-08-22,14:39:00,,1,HB,,8,,,E3,,,,,,,
2012-08-22,14:47:00,,1,HB,,14,,,E3,,,,,,,
2012-08-22,14:47:00,,1,HB,,46,,,E3,,,,,,,
2012-08-22,14:47:00,,1,BK,,3,,,E3,,,,,,,
2012-08-22,14:52:00,,1,HB,,32,,,E2,,,,,,,
2012-08-22,14:52:00,,1,HB,,1,,,E2,,,,,,,
2012-08-22,14:55:00,,1,HB,,11,,,E2,,,,,,,
2012-08-22,14:57:00,,1,HB,,22,,,E2,,,,,,,
2012-08-22,15:01:00,,1,HB,,9,,,E3,,,,,,,
2012-08-22,15:05:00,,1,HB,,17,,,E2,,,,,,,
2012-08-22,15:09:00,,1,HB,,16,,,E2,,,,,,,
2012-08-22,15:14:00,,1,HB,,2,,,E2,,,,,,,
2012-08-22,15:15:00,,1,BK,,1,,,E2,,,,,,,
2012-08-22,15:15:00,,1,Mar,,1,,,O,Juv,,,,,,
2012-08-22,15:17:00,,1,HB,,16,,,E3,,,,,,,
2012-08-22,15:37:00,,1,HB,,11,,,E3,,,,,,,
2012-08-22,15:53:00,,1,Mar,,1,,,W1,Juv,,,,,,
2012-08-22,15:57:00,,1,HB,,1,,,W1,Ad,M,,,,,
2012-08-22,16:12:00,,1,HB,,1,,,E3,,,,,,,
2012-08-22,16:24:00,,1,HB,,5,,,E1,,,,,,,
2012-08-22,15:57:00,,1,HB,,1,,,W1,Ad,M,,,,,
2012-08-22,16:42:00,,1,BEL,,1,,,W2,Ad,,,,,,NAS
