date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,Low,Age_det
2009-08-22,14:50:00,,2,Mon,,1,,,E1,Ad,M,,,,,0,Ad
2009-08-23,08:00:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-23,08:24:00,,1,Rol,,2,,,O,,,,,,,1,
2009-08-23,08:37:00,,1,BE,,1,,,O,,,,,,,1,
2009-08-23,08:37:00,,1,BK,,3,,,O,,,,,,,1,
2009-08-23,08:55:00,,2,HB,,1,,,E3,,FC,,,,,0,
2009-08-23,09:00:00,,1,Rol,,7,,,E1,,,,,,,1,
2009-08-23,09:11:00,,1,Rol,,6,,,W1,,,,,,,0,
2009-08-23,09:27:00,,1,Mar,,2,,,W1,Juv,,,,,,0,Juv
2009-08-23,09:40:00,,2,HB,,1,,,E2,,,,,,,0,
2009-08-23,09:43:00,,2,HB,,1,,,E2,,,,,,,0,
2009-08-23,09:44:00,,1,BE,,1,,,O,,,,,,,0,
2009-08-23,09:45:00,,1,MUID,,1,,,E1,,,,,,,0,
2009-08-23,09:48:00,,2,Harspec,,1,,,E2,,,,,,,0,
2009-08-23,09:48:00,,2,HB,,3,,,E2,,,,,,,0,
2009-08-23,09:48:00,,2,Mar,,1,,,E3,,FC,,,,,0,
2009-08-23,09:54:00,,2,HB,,3,,,E3,,,,,,,0,
2009-08-23,09:54:00,,2,Mar,,3,,,E3,,FC,,,,,0,
2009-08-23,09:58:00,,2,BK,,2,,,E3,Ad,,,,,,0,Ad
2009-08-23,09:58:00,,2,Mar,,1,,,E3,,FC,,,,,0,
2009-08-23,09:59:00,,2,Mon,,1,,,O,Imm,M,,,,,0,2ndcy
2009-08-23,10:02:00,,2,ESPH,,2,,,E3,,FC,,,,,0,
2009-08-23,10:02:00,,2,HB,,1,,,E3,,FC,,,,,0,
2009-08-23,10:02:00,,2,Mar,,2,,,E3,,FC,,,,,0,
2009-08-23,10:03:00,,2,Harspec,,1,,,E3,,,,,,,0,
2009-08-23,10:03:00,,2,HB,,1,,,E3,,FC,,,,,0,
2009-08-23,10:08:00,,2,HB,,10,,,E3,,FC,,,,,0,
2009-08-23,10:08:00,,2,HB,,3,,,E3,Ad,,,,,,0,Ad
2009-08-23,10:08:00,,2,Mar,,1,,,E3,Nonjuv,M,,,,,0,
2009-08-23,10:09:00,,2,HB,,20,,,E3,,,,,,,0,
2009-08-23,10:25:00,,2,WTE,,1,,,O,Imm,,,,,,0,2ndcy
2009-08-23,10:36:00,,1,ESPH,,1,,,O,Juv,,,,,,0,Juv
2009-08-23,10:40:00,,2,SBHB,,1,,,E1,Juv,,,,,,0,Juv
2009-08-23,10:42:00,,1,HB,,1,,,E1,Ad,F,,,,,1,Ad
2009-08-23,10:44:00,,2,ESPH,,1,,,E3,,FC,,,,,0,
2009-08-23,10:44:00,,2,HB,,10,,,E3,,,,,,,0,
2009-08-23,10:49:00,,2,HB,,1,,,E2,,FC,,,,,0,
2009-08-23,10:49:00,,2,HB,,1,,,E2,Ad,M,,,,,0,Ad
2009-08-23,10:59:00,,2,SB,,1,,,W1,Ad,,,,,,0,Ad
2009-08-23,11:05:00,,2,HB,,1,,,E2,Juv,,,,,,0,Juv
2009-08-23,11:20:00,,2,HB,,39,,,E3,,,,,,,0,
2009-08-23,11:22:00,,2,HB,,112,,,E3,,,,,,,0,
2009-08-23,11:24:00,,2,HB,,245,,,E3,,,,,,,0,
2009-08-23,11:30:00,,2,HB,,54,,,E3,,,,,,,0,
2009-08-23,11:31:00,,1,HB,,5,,,E3,,,,,,,0,
2009-08-23,11:31:00,,2,HB,,7,,,E3,,,,,,,0,
2009-08-23,11:41:00,,1,SBHB,,173,,,E3,,,,,,,0,
2009-08-23,11:45:00,,2,HB,,575,,,E3,,,,,,,0,
2009-08-23,11:58:00,,2,HB,,211,,,E3,,,,,,,0,
2009-08-23,11:58:00,,1,SB,,1,,,E2,,,,,,,0,
2009-08-23,12:00:00,,1,BK,,1,,,E3,,,,,,,0,
2009-08-23,12:01:00,,1,SBHB,,148,,,E3,,,,,,,0,
2009-08-23,12:10:00,,2,HB,,200,,,E1,,,,,,,0,
2009-08-23,12:15:00,,2,ESPH,,1,,,O,Juv,F,,,,,0,Juv
2009-08-23,12:17:00,,1,HB,,89,,,E3,,,,,,,0,
2009-08-23,12:20:00,,2,HB,,29,,,O,Ad,F,,,,,0,Ad
2009-08-23,12:20:00,,2,HB,,35,,,O,Ad,M,,,,,0,Ad
2009-08-23,12:20:00,,2,HB,,18,,,O,Juv,,,,,,0,Juv
2009-08-23,12:44:00,,1,MUID,,1,,,E3,,,,,,,0,
2009-08-23,12:50:00,,1,BE,,2,,,W3,,,,,,,0,
2009-08-23,12:57:00,,1,HB,,609,,,E3,,,,,,,0,
2009-08-23,12:57:00,,1,BK,,4,,,E3,,,,,,,0,
2009-08-23,13:00:00,,2,BK,,1,,,O,,,,,,,0,
2009-08-23,13:00:00,,2,BS,,1,,,O,,,,,,,0,
2009-08-23,13:00:00,,2,HB,,982,,,O,,,,,,,0,
2009-08-23,13:00:00,,2,LSPH,,1,,,O,,F,,,,,0,
2009-08-23,13:00:00,,2,Mon,,1,,,O,,,,,,,0,
2009-08-23,13:00:00,,2,SB,,1,,,O,Juv,,,,,,0,Juv
2009-08-23,13:15:00,,2,STE,,1,,,E2,,,,,,,0,
2009-08-23,13:26:00,,2,HB,,4,,,E3,,,,,,,0,
2009-08-23,14:40:00,,2,BE,,1,,,E3,,,,,,,0,
2009-08-23,14:40:00,,2,ESPH,,1,,,E3,,,,,,,0,
2009-08-23,14:40:00,,2,STE,,1,,,E3,,,,,,,0,
2009-08-23,17:26:00,,1,HB,,75,,,E3,,,,,,,0,
2009-08-23,17:30:00,,1,HB,,7,,,E3,,,,,,,0,
