Year,Date,Time,Station,Species,Number,RDC,numberdoublecount,Location,Low,Age,Sex,Age_det,Morph,Remark
2009,2009-09-07,13:34:00,2,ESPH,1,1,1,E2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:34:00,2,ESPH,1,1,1,E2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:34:00,1,LSE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:35:00,1,BK,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:35:00,2,ESPH,1,1,1,E2,0,NoValue,F,NoValue,NoValue,NoValue
2009,2009-09-07,13:35:00,2,ESPH,1,1,1,E2,0,NoValue,F,NoValue,NoValue,NoValue
2009,2009-09-07,13:35:00,2,ESPH,1,1,1,W1,0,Juv,F,Juv,NoValue,NoValue
2009,2009-09-07,13:35:00,2,ESPH,1,1,1,W1,0,Juv,F,Juv,NoValue,NoValue
2009,2009-09-07,13:35:00,2,LSPH,2,1,2,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:35:00,2,LSPH,2,1,2,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:36:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:36:00,2,HB,7,1,7,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:36:00,2,HB,7,1,7,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:38:00,2,Mar,1,1,1,E1,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,13:38:00,2,Mar,1,1,1,E1,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,13:39:00,2,SPH,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:39:00,2,SPH,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:40:00,2,ESPH,1,1,1,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:40:00,2,ESPH,1,1,1,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:40:00,2,HB,15,1,15,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:40:00,2,HB,15,1,15,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:40:00,1,Mar,1,1,1,E2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:41:00,2,BK,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
