"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"169",169,2009-08-23,"09:58:00","BlackKite",2,2,0,2,"E3","ad","","","","","",0,0,""
"170",170,2009-08-23,"09:58:00","Mar",1,1,0,2,"E3","","fc","","","","",0,0,""
"171",171,2009-08-23,"09:59:00","Mon",1,1,0,2,"O","imm","m","","","","",0,0,""
"172",172,2009-08-23,"10:02:00","EurasianSH",2,2,0,2,"E3","","fc","","","","",0,0,""
"173",173,2009-08-23,"10:02:00","HB",1,1,0,2,"E3","","fc","","","","",0,0,""
"174",174,2009-08-23,"10:02:00","Mar",2,2,0,2,"E3","","fc","","","","",0,0,""
"175",175,2009-08-23,"10:03:00","Harrier-SPEC",1,1,0,2,"E3","","","","","","",0,0,""
"176",176,2009-08-23,"10:03:00","HB",1,1,0,2,"E3","","fc","","","","",0,0,""
"177",177,2009-08-23,"10:08:00","HB",10,10,0,2,"E3","","fc","","","","",0,0,""
"178",178,2009-08-23,"10:08:00","HB",3,3,0,2,"E3","ad","","","","","",0,0,""
"179",179,2009-08-23,"10:08:00","Mar",1,1,0,2,"E3","nonjuv","m","","","","",0,0,""
"180",180,2009-08-23,"10:09:00","HB",20,20,0,2,"E3","","","","","","",0,0,""
"181",181,2009-08-23,"10:25:00","WhiteTE",1,1,0,2,"O","imm","","","","","",0,0,""
"182",182,2009-08-23,"10:36:00","EurasianSH",1,1,0,1,"O","juv","","","","","",0,0,""
"183",183,2009-08-23,"10:40:00","Buzzard-SPEC",1,1,0,2,"E1","juv","","","","","",0,0,""
"184",184,2009-08-23,"10:42:00","HB",1,1,0,1,"E1","ad","f","","","","",0,0,""
"185",185,2009-08-23,"10:44:00","EurasianSH",1,1,0,2,"E3","","fc","","","","",0,0,""
"186",186,2009-08-23,"10:44:00","HB",10,10,0,2,"E3","","","","","","",0,0,""
"187",187,2009-08-23,"10:49:00","HB",1,1,0,2,"E2","","fc","","","","",0,0,""
"188",188,2009-08-23,"10:49:00","HB",1,1,0,2,"E2","ad","m","","","","",0,0,""
"189",189,2009-08-23,"10:59:00","StepBuz",1,1,0,2,"W1","ad","","","","","",0,0,""
"190",190,2009-08-23,"11:05:00","HB",1,1,0,2,"E2","juv","","","","","",0,0,""
"191",191,2009-08-23,"11:20:00","HB",39,39,0,2,"E3","","","","","","",0,0,""
"192",192,2009-08-23,"11:22:00","HB",112,112,0,2,"E3","","","","","","",0,0,""
"193",193,2009-08-23,"11:24:00","HB",245,245,0,2,"E3","","","","","","",0,0,""
"194",194,2009-08-23,"11:30:00","HB",54,54,0,2,"E3","","","","","","",0,0,""
"195",195,2009-08-23,"11:31:00","HB",5,5,0,1,"E3","","","","","","",0,0,""
"196",196,2009-08-23,"11:31:00","HB",7,7,0,2,"E3","","","","","","",0,0,""
"197",197,2009-08-23,"11:41:00","Buzzard-SPEC",173,173,0,1,"E3","","","","","","",0,0,""
"198",198,2009-08-23,"11:45:00","HB",575,575,0,2,"E3","","","","","","",0,0,""
"199",199,2009-08-23,"11:58:00","HB",211,211,0,2,"E3","","","","","","",0,0,""
"200",200,2009-08-23,"11:58:00","StepBuz",1,1,0,1,"E2","","","","","","",0,0,""
"201",201,2009-08-23,"12:00:00","BlackKite",1,1,0,1,"E3","","","","","","",0,0,""
"202",202,2009-08-23,"12:01:00","Buzzard-SPEC",148,148,0,1,"E3","","","","","","",0,0,""
"203",203,2009-08-23,"12:10:00","HB",200,200,0,2,"E1","","","","","","",7,0,"ID205:-7 "
"204",204,2009-08-23,"12:15:00","EurasianSH",1,1,0,2,"O","juv","f","","","","",0,0,""
"205",205,2009-08-23,"12:17:00","HB",0,89,0,1,"E3","","","","","","",0,-89,"ID206:29 ID207:35 ID208:18 ID203:7 "
"206",206,2009-08-23,"12:20:00","HB",29,29,0,2,"O","ad","f","","","","",29,0,"ID205:-29 "
"207",207,2009-08-23,"12:20:00","HB",35,35,0,2,"O","ad","m","","","","",35,0,"ID205:-35 "
"208",208,2009-08-23,"12:20:00","HB",18,18,0,2,"O","juv","","","","","",18,0,"ID205:-18 "
"209",209,2009-08-23,"12:44:00","MediumRaptor",1,1,0,1,"E3","","","","","","",0,0,""
"210",210,2009-08-23,"12:50:00","BootedE",2,2,0,1,"W3","","","","","","",0,0,""
"211",211,2009-08-23,"12:57:00","HB",0,609,0,1,"E3","","","","","","",0,-609,"ID215:609 "
"212",212,2009-08-23,"12:57:00","BlackKite",3,4,0,1,"E3","","","","","","",0,-1,"ID213:1 "
"213",213,2009-08-23,"13:00:00","BlackKite",1,1,0,2,"O","","","","","","",1,0,"ID212:-1 "
"214",214,2009-08-23,"13:00:00","BlaStork",1,1,0,2,"O","","","","","","",0,0,""
"215",215,2009-08-23,"13:00:00","HB",982,982,0,2,"O","","","","","","",609,0,"ID211:-609 "
"216",216,2009-08-23,"13:00:00","LevantSH",1,1,0,2,"O","nonjuv","f","","","","",0,0,""
"217",217,2009-08-23,"13:00:00","Mon",1,1,0,2,"O","","","","","","",0,0,""
"218",218,2009-08-23,"13:00:00","StepBuz",1,1,0,2,"O","juv","","","","","",0,0,""
"219",219,2009-08-23,"13:15:00","ShortTE",1,1,0,2,"E2","","","","","","",0,0,""
"220",220,2009-08-23,"13:26:00","HB",4,4,0,2,"E3","","","","","","",0,0,""
"221",221,2009-08-23,"14:40:00","BootedE",1,1,0,2,"E3","","","","","","",0,0,""
"222",222,2009-08-23,"14:40:00","EurasianSH",1,1,0,2,"E3","","","","","","",0,0,""
"223",223,2009-08-23,"14:40:00","ShortTE",1,1,0,2,"E3","","","","","","",0,0,""
"224",224,2009-08-23,"17:26:00","HB",75,75,0,1,"E3","","","","","","",0,0,""
"225",225,2009-08-23,"17:30:00","HB",7,7,0,1,"E3","","","","","","",0,0,""
"226",226,2009-08-23,"17:40:00","HB",56,56,0,1,"E3","","","","","","",0,0,""
"227",227,2009-08-23,"17:41:00","HB",4,4,0,1,"E3","","","","","","",0,0,""
"228",228,2009-08-23,"17:42:00","HB",67,67,0,1,"E3","","","","","","",0,0,""
"229",229,2009-08-23,"17:43:00","HB",17,17,0,1,"E3","","","","","","",0,0,""
"230",230,2009-08-24,"07:43:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"231",231,2009-08-24,"08:01:00","HB",0,1,0,1,"E3","","","","","","",0,-1,"ID232:1 "
"232",232,2009-08-24,"08:01:00","HB",1,1,0,2,"O","ad","f","","","","",1,0,"ID231:-1 "
"233",233,2009-08-24,"08:01:00","HB",1,1,0,2,"W2","ad","f","","","","",1,0,"ID237:-1 "
"234",234,2009-08-24,"08:01:00","HB",11,11,0,2,"W2","","","","","","",2,0,"ID237:-2 "
"235",235,2009-08-24,"08:09:00","Mar",1,1,0,1,"E3","","fc","","","","",0,0,""
"236",236,2009-08-24,"08:10:00","HB",6,6,0,2,"E1","","","","","","",6,0,"ID237:-6 "
