"date","timestamp","telpost","speciesname","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2016-09-22","07:00:00","2","START",1,"0","0","E2","","","","","","",266,2016
"2016-09-22","17:24:00","2","END",1,"0","0","E2","","","","","","",266,2016
"2016-09-23","07:00:00","1","START",1,"0","0","O","","","","","","",267,2016
"2016-09-23","17:15:00","1","END",1,"0","0","O","","","","","","",267,2016
"2016-09-23","07:00:00","2","START",1,"0","0","E2","","","","","","",267,2016
"2016-09-23","15:45:00","2","BREAK",1,"0","0","O","","","","","","",267,2016
"2016-09-23","16:00:00","2","RESUME",1,"0","0","O","","","","","","",267,2016
"2016-09-23","17:11:00","2","END",1,"0","0","E2","","","","","","",267,2016
"2016-09-25","07:04:00","2","START",1,"0","0","W2","","","","","","",269,2016
"2016-09-25","18:04:00","2","END",1,"0","0","W2","","","","","","",269,2016
"2016-09-25","06:56:00","1","START",1,"0","0","W2","","","","","","",269,2016
"2016-09-25","19:53:00","1","END",1,"0","0","W2","","","","","","",269,2016
"2016-09-26","07:05:00","1","START",1,"0","0","O","","","","","","",270,2016
"2016-09-26","18:46:00","1","END",1,"0","0","O","","","","","","",270,2016
"2016-09-26","06:56:00","2","START",1,"0","0","E1","","","","","","",270,2016
"2016-09-26","17:46:00","2","END",1,"0","0","E1","","","","","","",270,2016
"2016-09-27","06:59:00","1","START",1,"0","0","W3","","","","","","",271,2016
"2016-09-27","18:30:00","1","END",1,"0","0","W3","","","","","","",271,2016
"2016-09-27","07:01:00","2","START",1,"0","0","E2","","","","","","",271,2016
"2016-09-27","18:26:00","2","END",1,"0","0","E2","","","","","","",271,2016
"2016-09-28","07:07:00","1","START",1,"0","0","W2","","","","","","",272,2016
"2016-09-28","17:15:00","1","END",1,"0","0","W2","","","","","","",272,2016
"2016-09-28","07:43:00","2","START",1,"0","0","W2","","","","","","",272,2016
"2016-09-28","16:45:00","2","BREAK",1,"0","0","W2","","","","","","",272,2016
