"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2012-08-18","15:53:00","2","HB_AD",-90,2,"","","O","","","","","","",231,2012
"2012-08-18","15:54:00","2","HB_AD",-90,2,"","","W1","","","","","","",231,2012
"2012-08-18","16:10:00","2","HB",86,1,"","","W2","","","","","","",231,2012
"2012-08-18","16:23:00","2","HB",86,1,"","","E2","","","","","","",231,2012
"2012-08-18","16:23:00","2","HB_AD",-90,1,"","","E2","","","","","","",231,2012
"2012-08-18","16:39:00","2","HB",86,3,"","","W1","","","","","","",231,2012
"2012-08-18","16:56:00","2","HB",86,2,"","","W2","","","","","","",231,2012
"2012-08-18","17:34:00","2","HB",86,13,"","","E2","","","","","","",231,2012
"2012-08-19","10:20:00","1","HB",86,2,"","","E2","","","","","","",232,2012
"2012-08-19","10:21:00","1","HB",86,5,"","","E3","","","","","","",232,2012
"2012-08-19","10:41:00","1","BlaStork",31,4,"","","E2","","","","","","",232,2012
"2012-08-19","10:41:00","1","HB",86,3,"","","E2","","","","","","",232,2012
"2012-08-19","10:42:00","1","HB",86,4,"","","E2","","","","","","",232,2012
"2012-08-19","10:46:00","1","HB",86,1,"","","E3","","","","","","",232,2012
"2012-08-19","10:52:00","1","BootedE",592,1,"","","E2","","","d","","","",232,2012
"2012-08-19","10:55:00","1","HB",86,3,"","","E2","","","","","","",232,2012
"2012-08-19","10:56:00","1","StepBuz",102,2,"","","E2","","","","","","",232,2012
"2012-08-19","11:00:00","1","HB",86,2,"","","E2","","","","","","",232,2012
"2012-08-19","11:01:00","1","StepBuz",102,1,"","","E2","","","","","","",232,2012
"2012-08-19","11:03:00","1","HB",86,3,"","","E2","","","","","","",232,2012
"2012-08-19","11:03:00","1","BootedE",592,1,"","","E2","nonjuv","","l","","","",232,2012
"2012-08-19","11:04:00","1","StepBuz",102,1,"","","E2","","","","","","",232,2012
"2012-08-19","11:16:00","1","HB",86,2,"","","E2","","","","","","",232,2012
"2012-08-19","11:23:00","1","HB",86,1,"","","E2","","","","","","",232,2012
"2012-08-19","11:23:00","1","BootedE",592,1,"","","E2","","","d","","","",232,2012
"2012-08-19","11:28:00","1","BootedE",592,1,"","","E2","nonjuv","","d","","","",232,2012
"2012-08-19","11:28:00","1","HB",86,5,"","","E2","","","","","","",232,2012
"2012-08-19","11:41:00","1","HB",86,3,"","","E2","","","","","","",232,2012
"2012-08-19","11:43:00","1","HB",86,1,"","","E2","","","","","","",232,2012
"2012-08-19","11:47:00","1","HB",86,2,"","","E2","","","","","","",232,2012
"2012-08-19","11:51:00","1","HB",86,1,"","","E2","","","","","","",232,2012
"2012-08-19","11:55:00","1","HB",86,23,"","","E2","","","","","","",232,2012
"2012-08-19","11:58:00","1","HB",86,1,"","","E2","","","","","","",232,2012
"2012-08-19","12:04:00","1","HB",86,3,"","","E2","","","","","","",232,2012
"2012-08-19","12:19:00","1","HB",86,7,"","","E3","","","","","","",232,2012
"2012-08-19","12:20:00","1","StepBuz",102,1,"","","E2","","","","","","",232,2012
"2012-08-19","12:31:00","1","HB",86,7,"","","E3","","","","","","",232,2012
"2012-08-19","12:37:00","1","HB",86,3,"","","E3","","","","","","",232,2012
"2012-08-19","12:47:00","1","HB",86,1,"","","E2","","","","","","",232,2012
"2012-08-19","12:56:00","1","HB_AD",-90,1,"","","E2","","f","","","","",232,2012
"2012-08-19","13:23:00","1","Mon",98,1,"","","E1","ad","m","","","","",232,2012
"2012-08-19","11:03:00","2","HB_AD",-90,6,"","","O","","","","","","",232,2012
"2012-08-19","11:03:00","2","BootedE",592,1,"","","O","nonjuv","","d","","","",232,2012
"2012-08-19","11:12:00","2","BlaStork",31,2,"","","E2","juv","","","","","",232,2012
"2012-08-19","11:13:00","2","BlaStork",31,1,"","","E2","nonjuv","","","","","",232,2012
"2012-08-19","11:17:00","2","BootedE",592,1,"","","W1","nonjuv","","d","","","",232,2012
"2012-08-19","11:26:00","2","HB_AD",-90,3,"","","E1","","m","","","","",232,2012
"2012-08-19","11:26:00","2","HB_AD",-90,3,"","","E1","","f","","","","",232,2012
"2012-08-19","12:01:00","2","HB_AD",-90,1,"","","O","","f","","","","",232,2012
"2012-08-19","12:04:00","2","HB_AD",-90,2,"","","O","","f","","","","",232,2012
"2012-08-19","12:04:00","2","HB_AD",-90,1,"","","O","","m","","","","",232,2012
"2012-08-19","12:13:00","2","HB",86,1,"","","W3","","","","","","",232,2012
"2012-08-19","12:24:00","2","HB",86,2,"","","O","","","","","","",232,2012
"2012-08-19","12:24:00","2","HB_AD",-90,2,"","","O","","f","","","","",232,2012
"2012-08-19","12:32:00","2","HB_AD",-90,4,"","","O","","m","","","","",232,2012
"2012-08-19","12:32:00","2","HB_AD",-90,3,"","","O","","f","","","","",232,2012
"2012-08-19","12:44:00","2","BlackKite",88,1,"","","E2","","","","","","",232,2012
"2012-08-19","13:46:00","2","Peregrine",115,1,"","","O","imm","","","","","",232,2012
"2012-08-20","08:49:00","1","BlackKite",88,1,"","","W2","","","","","","",233,2012
"2012-08-20","09:24:00","1","Mar",95,4,"","","E1","ad","m","","","","",233,2012
"2012-08-20","16:54:00","1","BlackKite",88,1,"","","W2","","","","","","",233,2012
"2012-08-20","08:53:00","2","Mar",95,1,"","","W2","nonjuv","f","","","","",233,2012
"2012-08-20","09:18:00","2","WhiStork",32,69,"","","O","","","","","","",233,2012
"2012-08-20","09:46:00","2","Mar",95,1,"","","W2","imm","m","","","","",233,2012
"2012-08-20","10:59:00","2","HB",86,6,"","","W2","","","","","","",233,2012
"2012-08-21","06:38:00","1","BlackKite",88,1,"","","O","","","","","","",234,2012
"2012-08-21","06:38:00","1","BK_JUV",-92,1,"","","O","","","","","","",234,2012
"2012-08-21","06:39:00","1","Mar",95,1,"","","O","juv","","","","","",234,2012
"2012-08-21","07:30:00","1","Mar",95,1,"","","W2","nonjuv","f","","","","",234,2012
"2012-08-21","08:21:00","1","Roller",255,20,"","","O","","","","","","",234,2012
"2012-08-21","08:26:00","1","BlackKite",88,1,"","","W2","","","","","","",234,2012
"2012-08-21","08:28:00","1","BK_NONJUV",-93,1,"","","W2","","","","","","",234,2012
"2012-08-21","08:28:00","1","BlackKite",88,1,"","","W3","","","","","","",234,2012
"2012-08-21","08:28:00","1","BK_JUV",-92,1,"","","W3","","","","","","",234,2012
"2012-08-21","08:38:00","1","Roller",255,9,"","","E1","","","","","","",234,2012
"2012-08-21","08:49:00","1","Mar",95,1,"","","W2","juv","","","","","",234,2012
"2012-08-21","08:50:00","1","Roller",255,3,"","","W2","","","","","","",234,2012
"2012-08-21","09:13:00","1","Roller",255,5,"","","W2","","","","","","",234,2012
"2012-08-21","09:21:00","1","Roller",255,9,"","","E2","","","","","","",234,2012
"2012-08-21","09:26:00","1","HB",86,1,"","","E3","","","","","","",234,2012
"2012-08-21","09:27:00","1","Roller",255,11,"","","E2","","","","","","",234,2012
"2012-08-21","09:39:00","1","HB",86,11,"","","E3","","","","","","",234,2012
"2012-08-21","09:51:00","1","HB",86,1,"","","E2","ad","m","","","","",234,2012
"2012-08-21","09:56:00","1","Roller",255,3,"","","O","","","","","","",234,2012
"2012-08-21","09:58:00","1","MonPalHen",1102,1,"","","E2","juv","","","","","",234,2012
